"IDCAL";"FOODNAME";"CALORIE";"PROTEIN";"FATS";"CARBHDRT";"CALCIUM";"PHOSPHOR";"IRON";"VITA";"VITB1";"VITC";"amount";"FWEIGHT";"added";"ISACTIVE"
65;"Talas";98.0;1.9;0.2;23.7;28.0;61.0;1.0;20.0;0.13;4.0;85.0;100;"admin";1
66;"Talas bogor";108.0;1.4;0.4;25.0;47.0;67.0;0.7;0.0;0.06;4.0;85.0;100;"admin";1
67;"Talas pontianak";163.0;2.3;0.5;36.4;45.0;80.0;1.7;0.0;0.02;0.0;83.0;100;"admin";1
68;"Tepung terigu";333.0;9.0;1.0;77.2;22.0;150.0;1.3;0.0;0.1;0.0;100.0;100;"admin";1
69;"Ubi jalar kuning";114.0;0.8;0.5;26.7;51.0;47.0;0.9;0.0;0.06;22.0;85.0;100;"admin";1
70;"Ubi jalar merah";123.0;1.8;0.7;27.9;30.0;49.0;1.0;7700.0;0.09;22.0;86.0;100;"admin";1
71;"Ubi jalar merah (DKBM P3G '90)";151.0;1.6;0.3;35.4;29.0;74.0;0.7;0.0;0.13;10.5;93.0;100;"admin";1
72;"Ubi jalar puith (DKBM P3G '90)";152.0;1.5;0.3;35.7;29.0;64.0;0.8;0.0;0.17;9.8;91.0;100;"admin";1
73;"Ubi jalar putih";123.0;1.8;0.7;27.9;30.0;49.0;1.0;60.0;0.09;22.0;86.0;100;"admin";1
74;"Ubi kemayung";150.0;1.5;0.2;35.5;24.0;48.0;0.8;0.0;0.13;6.2;85.0;100;"admin";1
75;"Ubi manis";83.0;1.5;0.2;18.8;27.0;162.0;2.1;0.0;0.02;0.0;85.0;100;"admin";1
76;"Uwi";101.0;2.0;0.2;19.8;45.0;280.0;2.0;0.0;0.1;9.0;86.0;100;"admin";1
77;"Bihun";360.0;4.7;0.1;82.1;6.0;35.0;1.0;0.0;0.0;0.0;100.0;100;"admin";1
78;"Biskuit";458.0;6.9;14.4;75.1;62.0;87.0;3.0;0.0;0.09;0.0;100.0;100;"admin";1
79;"Cantel";332.0;11.0;3.3;73.0;28.0;287.0;4.0;0.0;0.38;0.0;100.0;100;"admin";1
80;"Havermout";390.0;14.2;7.4;68.2;53.0;405.0;5.0;0.0;0.6;0.0;100.0;100;"admin";1
81;"Jagung muda kuning rebus/bakar";129.0;4.1;1.3;30.3;5.0;108.0;1.0;117.0;0.18;9.0;28.0;100;"admin";1
82;"Jagung muda putih rebus/bakar";129.0;4.1;1.3;30.3;5.0;108.0;1.0;0.0;0.18;9.0;28.0;100;"admin";1
83;"Kerupuk aci";350.0;0.5;0.2;85.9;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100;"admin";1
84;"Ketela mie golosor";71.0;0.2;0.8;15.9;117.0;5.0;0.2;0.0;0.05;0.0;100.0;100;"admin";1
85;"Ketela oyek";342.0;2.3;0.1;38.1;27.0;61.0;7.6;0.0;0.06;0.0;100.0;100;"admin";1
86;"Macaroni";363.0;8.7;0.4;78.7;20.0;80.0;0.0;0.0;0.1;0.0;100.0;100;"admin";1
87;"Maizena ( pati jagung )";343.0;0.3;0.0;85.0;20.0;30.0;2.0;0.0;0.0;0.0;100.0;100;"admin";1
88;"Mi basah";86.0;0.6;3.3;14.0;14.0;13.0;1.0;0.0;0.0;0.0;100.0;100;"admin";1
89;"Mi kering";337.0;7.9;11.8;50.0;49.0;47.0;3.0;0.0;0.01;0.0;100.0;100;"admin";1
90;"Pati singkong ( tapioka )";362.0;0.5;0.3;86.9;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100;"admin";1
91;"Roti putih";248.0;8.0;1.2;50.0;10.0;95.0;2.0;0.0;0.1;0.0;100.0;100;"admin";1
